Confirmation Number,Services Offered,Target Entity,Interest Areas,Investors,Hiring Requirement,GeoLocation,Job Function,Investment Range,Investment Requirement,Services Required,Companies Raising Money,GeoLocation 
101046077,,,,,"Investing,Executive Leadership & Board of Directors,Legal, Compliance & Risk","Middle East,Australia & New Zealand,Asia - Other,UK & Ireland,North America,India,Eastern Europe,China,Africa,Nordics,Other Europe,Germany, Austria & Switzerland,Central & South America,France & Benelux,Southern Europe","HR, Talent Acquisition & Workforce Management,Customer Experience",,$5 million+ to 10 million,"NFTs & Tokens,Business Intelligence Tools,Blockchain & Traceability,Data Management Platforms,Legal, Compliance & Regulatory Services,Reconciliation & Reporting Solutions,B2B Financing & Lending Solutions,Mobile, App & SMS Marketing Solutions,Distribution Center Management,Expense & Spend Management Solutions",True,"Middle East,Australia & New Zealand,Asia - Other,UK & Ireland,North America,India,Eastern Europe,China,Africa,Nordics,Other Europe,Germany, Austria & Switzerland,Central & South America,France & Benelux,Southern Europe"
103334625,"Mobile, App & SMS Marketing Solutions,Store Design Services,Social Commerce Platforms","Government,Real Estate,Marketing & Digital Agency,Marketplace or Marketplace Solution,Large Solution Provider or Technology Company,Startup Solution Provider or Technology Company,Professional Services Firm,Investor (VC, PE or Other),Established Retailer or Brand",,,"Environmental, Social & Corporate Governance (ESG),Product Development & Management,Customer Experience,Technology & IT,Marketing, Advertising & Communications,Research, Content & Journalism,Other,Digital & Ecommerce,Sales, BD & Account Management,Partnerships,Strategy, Innovation & Transformation,Procurement & Vendor Management,Supply Chain, Operations & Fulfillment,Merchandising,Data, Analytics & Insights","China,France & Benelux","HR, Talent Acquisition & Workforce Management,Merchandising,Supply Chain, Operations & Fulfillment",,,,False,"China,France & Benelux"
104659944,,,,,"Research, Content & Journalism,Finance & Accounting,Environmental, Social & Corporate Governance (ESG),Executive Leadership & Board of Directors,Partnerships,Consulting & Advisory,Legal, Compliance & Risk,Strategy, Innovation & Transformation,Procurement & Vendor Management,Customer Experience,Product Development & Management,Digital & Ecommerce,Other,Supply Chain, Operations & Fulfillment,Sales, BD & Account Management,Merchandising,Marketing, Advertising & Communications,Logistics & Transportation (inc. Last-Mile),Data, Analytics & Insights,HR, Talent Acquisition & Workforce Management,Technology & IT,Investing","France & Benelux,Asia - Other,North America,UK & Ireland,Other Europe,Germany, Austria & Switzerland,Eastern Europe,Nordics,Africa,Middle East","Marketing, Advertising & Communications",,,,False,"France & Benelux,Asia - Other,North America,UK & Ireland,Other Europe,Germany, Austria & Switzerland,Eastern Europe,Nordics,Africa,Middle East"
103613705,,,,,"Technology & IT,Research, Content & Journalism,Strategy, Innovation & Transformation,Sales, BD & Account Management,HR, Talent Acquisition & Workforce Management,Product Development & Management,Customer Experience,Consulting & Advisory,Finance & Accounting,Logistics & Transportation (inc. Last-Mile),Investing,Data, Analytics & Insights,Digital & Ecommerce","Central & South America,UK & Ireland,Germany, Austria & Switzerland,Middle East,Eastern Europe,China","Customer Experience,Supply Chain, Operations & Fulfillment",,,"Charitable, Donation & Philanthropic Solutions,Forecasting & Replenishment Solutions,Cloud Hosting Services,Marketing Automation Platforms",False,"Central & South America,UK & Ireland,Germany, Austria & Switzerland,Middle East,Eastern Europe,China"
107525684,"Product Imagery Solutions,B2B Ecommerce Platforms,Delivery (inc. Last Mile) & Pickup Solutions,Product Lifecycle Management (PLM) Solutions,Site Personalization Solutions,Marketing Personalization Solutions","Startup Retailer or Brand,Investor (VC, PE or Other)",,,,"North America,China,Other Europe,UK & Ireland,Australia & New Zealand,Nordics,Eastern Europe,France & Benelux,Germany, Austria & Switzerland,Asia - Other,Africa,Southern Europe,India","Customer Experience,Strategy, Innovation & Transformation,Logistics & Transportation (inc. Last-Mile)",,,,False,"North America,China,Other Europe,UK & Ireland,Australia & New Zealand,Nordics,Eastern Europe,France & Benelux,Germany, Austria & Switzerland,Asia - Other,Africa,Southern Europe,India"
105188232,,,,,,"Middle East,Africa,Australia & New Zealand,North America,Other Europe,UK & Ireland,Asia - Other,France & Benelux,India","Data, Analytics & Insights",,,Marketing Analytics,,"Middle East,Africa,Australia & New Zealand,North America,Other Europe,UK & Ireland,Asia - Other,France & Benelux,India"
102192920,,,,,,"North America,Asia - Other,Eastern Europe,Australia & New Zealand,Africa","Product Development & Management,Research, Content & Journalism,Logistics & Transportation (inc. Last-Mile)",,,,False,"North America,Asia - Other,Eastern Europe,Australia & New Zealand,Africa"
103057073,"Autonomous Vehicles,POS Hardware & Peripherals,Crypto Payments Solutions,Consultancy & Advisory Services,Web & App Analytics,Blockchain & Traceability,Social Commerce Platforms,Mobile Wallets & Payments Solutions",,,,,"Middle East,Nordics,Southern Europe,UK & Ireland,Eastern Europe,Asia - Other,Other Europe","Partnerships,Customer Experience,Investing",,,"Business Intelligence Tools,Product Information Management (PIM) Solutions,Social Media Marketing Solutions,Social Commerce Platforms",,"Middle East,Nordics,Southern Europe,UK & Ireland,Eastern Europe,Asia - Other,Other Europe"
103235529,,,,,"Marketing, Advertising & Communications,Executive Leadership & Board of Directors,Merchandising,Consulting & Advisory,Investing,Technology & IT,Customer Experience,HR, Talent Acquisition & Workforce Management,Finance & Accounting,Strategy, Innovation & Transformation,Research, Content & Journalism,Digital & Ecommerce,Procurement & Vendor Management","Asia - Other,France & Benelux,Eastern Europe","Legal, Compliance & Risk,Procurement & Vendor Management,Store Operations",,,,False,"Asia - Other,France & Benelux,Eastern Europe"
106995534,"Email Marketing Solutions,Social Media Marketing Solutions,Clienteling Solutions,Third Party Logistics (3PL) Services","Large Solution Provider or Technology Company,Startup Retailer or Brand",,,"Other,Investing","Central & South America,North America,Other Europe,UK & Ireland,Australia & New Zealand,Germany, Austria & Switzerland,France & Benelux,Southern Europe,Africa,India,Eastern Europe,China",Store Operations,,$1 million or less,,True,"Central & South America,North America,Other Europe,UK & Ireland,Australia & New Zealand,Germany, Austria & Switzerland,France & Benelux,Southern Europe,Africa,India,Eastern Europe,China"
104027791,,,,,,"North America,China,Middle East",Merchandising,,,"Product Lifecycle Management (PLM) Solutions,Financing Solutions,Sustainability Solutions,Shopper Marketing Solutions,Sourcing Solutions & Services,Shoppable Video & Livestreaming Solutions,Translation & Localization Services,Charitable, Donation & Philanthropic Solutions",False,"North America,China,Middle East"
101465557,,,,,,Eastern Europe,"Merchandising,Technology & IT,Investing",,,,False,Eastern Europe
103684325,"Financial Planning, Analysis & Forecasting Tools,Distribution Center Management,Competitive Pricing Insights & Solutions","Real Estate,Established Retailer or Brand,Government,Marketing & Digital Agency,Industry Association or Nonprofit,Media or Sell Side Analyst,Higher Education,Startup Retailer or Brand",,,"Procurement & Vendor Management,Data, Analytics & Insights,Store Operations,Logistics & Transportation (inc. Last-Mile),Technology & IT,HR, Talent Acquisition & Workforce Management,Partnerships,Legal, Compliance & Risk,Research, Content & Journalism,Investing,Merchandising,Digital & Ecommerce,Product Development & Management,Sales, BD & Account Management,Environmental, Social & Corporate Governance (ESG),Strategy, Innovation & Transformation,Other,Finance & Accounting","Africa,Nordics,China,Eastern Europe,North America,Germany, Austria & Switzerland,Australia & New Zealand,Southern Europe,Other Europe,Middle East","Technology & IT,Procurement & Vendor Management",,$1 million or less,,True,"Africa,Nordics,China,Eastern Europe,North America,Germany, Austria & Switzerland,Australia & New Zealand,Southern Europe,Other Europe,Middle East"
102504699,,,,,,"India,UK & Ireland","HR, Talent Acquisition & Workforce Management",,,"Automated Retail Kiosks,Cause-Based Marketing Solutions,Mobile Wallets & Payments Solutions",False,"India,UK & Ireland"
104550754,,"Startup Retailer or Brand,Marketing & Digital Agency,Large Solution Provider or Technology Company,Established Retailer or Brand,Media or Sell Side Analyst,Industry Association or Nonprofit",,,"Research, Content & Journalism,Investing,Data, Analytics & Insights,Partnerships,Store Operations","Eastern Europe,India,North America,Central & South America,China,Other Europe","Consulting & Advisory,Logistics & Transportation (inc. Last-Mile),Digital & Ecommerce",,,"Translation & Localization Services,BNPL & Customer Installment Lending Solutions",False,"Eastern Europe,India,North America,Central & South America,China,Other Europe"
109967196,"Legal, Compliance & Regulatory Services,Video Web Operations,Autonomous Vehicles","Real Estate,Media or Sell Side Analyst,Professional Services Firm,Startup Solution Provider or Technology Company,Higher Education,Government,Marketing & Digital Agency,Startup Retailer or Brand,Investor (VC, PE or Other)",,,"Logistics & Transportation (inc. Last-Mile),Partnerships,Investing,Sales, BD & Account Management,Executive Leadership & Board of Directors,Store Operations,Data, Analytics & Insights,Environmental, Social & Corporate Governance (ESG),Consulting & Advisory,Merchandising,Finance & Accounting,Supply Chain, Operations & Fulfillment,Marketing, Advertising & Communications,Other,Research, Content & Journalism","Germany, Austria & Switzerland,North America,Nordics",Executive Leadership & Board of Directors,,,,False,"Germany, Austria & Switzerland,North America,Nordics"
108528146,,,,,,"UK & Ireland,Middle East,Germany, Austria & Switzerland,Asia - Other","Environmental, Social & Corporate Governance (ESG),Technology & IT",,,"Influencer Marketing Solutions,Accounting Services,Creative & Design Services,Fulfillment Solutions,Flexible Labor/Gig Economy Management",,"UK & Ireland,Middle East,Germany, Austria & Switzerland,Asia - Other"
109442888,"Automated & Self Checkout Solutions,Returns Solutions,Influencer Marketing Solutions,POS Hardware & Peripherals","Government,Industry Association or Nonprofit,Marketing & Digital Agency",,,,"India,Germany, Austria & Switzerland,China,Africa,North America,Nordics,France & Benelux,Central & South America,Southern Europe,Other Europe,UK & Ireland","Executive Leadership & Board of Directors,HR, Talent Acquisition & Workforce Management,Environmental, Social & Corporate Governance (ESG)",,,,,"India,Germany, Austria & Switzerland,China,Africa,North America,Nordics,France & Benelux,Central & South America,Southern Europe,Other Europe,UK & Ireland"
108667767,"Loyalty & Rewards (inc. Rebates) Solutions,BNPL & Customer Installment Lending Solutions,Fulfillment Solutions,Location Based Marketing Solutions,Display Marketing Solutions","Government,Media or Sell Side Analyst,Higher Education,Established Retailer or Brand,Marketing & Digital Agency",,,,"India,Middle East","Merchandising,Supply Chain, Operations & Fulfillment",,,"Interactive In-Store Technologies (inc. Music & Entertainment),Branding Services,Gift Cards and Digital Gifting Solutions,Social Media Marketing Solutions,Sourcing Solutions & Services,Mobile, App & SMS Marketing Solutions,Inventory Management Systems",False,"India,Middle East"
103884379,,,,,,"Africa,Asia - Other,Other Europe,France & Benelux,China,Middle East,India,UK & Ireland,North America,Eastern Europe,Germany, Austria & Switzerland,Southern Europe,Central & South America,Australia & New Zealand","HR, Talent Acquisition & Workforce Management,Supply Chain, Operations & Fulfillment",,,"Augmented Reality & Virtual Reality,Legal, Compliance & Regulatory Services",,"Africa,Asia - Other,Other Europe,France & Benelux,China,Middle East,India,UK & Ireland,North America,Eastern Europe,Germany, Austria & Switzerland,Southern Europe,Central & South America,Australia & New Zealand"
101892660,,,,,,"Nordics,France & Benelux,Central & South America",Merchandising,,,,,"Nordics,France & Benelux,Central & South America"
102347778,"Consumer Sentiment & Reviews,Product Imagery Solutions,Social Media Services",,,,,"Australia & New Zealand,China,Southern Europe,Nordics,Other Europe,Asia - Other,Eastern Europe,Central & South America,Middle East,France & Benelux,UK & Ireland,North America,India",Finance & Accounting,,$1 million or less,,True,"Australia & New Zealand,China,Southern Europe,Nordics,Other Europe,Asia - Other,Eastern Europe,Central & South America,Middle East,France & Benelux,UK & Ireland,North America,India"
107755405,,"Investor (VC, PE or Other),Startup Solution Provider or Technology Company,Marketing & Digital Agency",,,,"India,Australia & New Zealand,Eastern Europe,Middle East,Central & South America,Germany, Austria & Switzerland,UK & Ireland,France & Benelux,Asia - Other,Other Europe,Africa","Marketing, Advertising & Communications",,,,False,"India,Australia & New Zealand,Eastern Europe,Middle East,Central & South America,Germany, Austria & Switzerland,UK & Ireland,France & Benelux,Asia - Other,Other Europe,Africa"
107788340,,,,,"Supply Chain, Operations & Fulfillment,Partnerships,Finance & Accounting,Legal, Compliance & Risk,Customer Experience,Other,Store Operations,Investing,Strategy, Innovation & Transformation,Consulting & Advisory,Logistics & Transportation (inc. Last-Mile),Product Development & Management,Marketing, Advertising & Communications,Digital & Ecommerce,Research, Content & Journalism,Merchandising,Executive Leadership & Board of Directors","UK & Ireland,Other Europe,Central & South America,Eastern Europe,Germany, Austria & Switzerland,India,North America,Africa,Middle East,Asia - Other,Australia & New Zealand,France & Benelux,Southern Europe,Nordics,China","Other,Research, Content & Journalism",,,"Digital Couponing Solutions & Circulars,Cause-Based Marketing Solutions,Data Management Platforms,Payment Gateways & Payment Service Provider (PSP) Solutions,Business Intelligence Tools,Fraud Detection & Risk Management Solutions,Email Marketing Solutions,Sourcing Solutions & Services",False,"UK & Ireland,Other Europe,Central & South America,Eastern Europe,Germany, Austria & Switzerland,India,North America,Africa,Middle East,Asia - Other,Australia & New Zealand,France & Benelux,Southern Europe,Nordics,China"
100012819,,"Government,Professional Services Firm",,,"Strategy, Innovation & Transformation,Digital & Ecommerce,Environmental, Social & Corporate Governance (ESG),Sales, BD & Account Management,Procurement & Vendor Management,Logistics & Transportation (inc. Last-Mile),Supply Chain, Operations & Fulfillment,Investing,Consulting & Advisory,Technology & IT,Legal, Compliance & Risk","Southern Europe,India,Nordics,Australia & New Zealand,Asia - Other,Central & South America,Africa,Other Europe,Middle East,UK & Ireland","Finance & Accounting,Procurement & Vendor Management",,$5 million+ to 10 million,Business Intelligence Tools,True,"Southern Europe,India,Nordics,Australia & New Zealand,Asia - Other,Central & South America,Africa,Other Europe,Middle East,UK & Ireland"
106419546,,,,,,"Nordics,UK & Ireland,Germany, Austria & Switzerland,Southern Europe,Eastern Europe,Middle East","HR, Talent Acquisition & Workforce Management,Partnerships,Finance & Accounting",,,,,"Nordics,UK & Ireland,Germany, Austria & Switzerland,Southern Europe,Eastern Europe,Middle East"
108857908,"Gift Cards and Digital Gifting Solutions,Data Architecture & Infrastructure Solutions",,,,"Data, Analytics & Insights,Legal, Compliance & Risk","Southern Europe,Asia - Other,India,North America","Technology & IT,Sales, BD & Account Management",,$5 million+ to 10 million,,True,"Southern Europe,Asia - Other,India,North America"
103502144,"Multichannel Marketing Platforms,Mobile Wallets & Payments Solutions",,,,,"Asia - Other,Southern Europe,Eastern Europe,UK & Ireland,India,Middle East,North America,France & Benelux,Germany, Austria & Switzerland,Other Europe,Australia & New Zealand,Africa,Central & South America","Marketing, Advertising & Communications,Investing",,,Payroll & Earned Wage Access Solutions,False,"Asia - Other,Southern Europe,Eastern Europe,UK & Ireland,India,Middle East,North America,France & Benelux,Germany, Austria & Switzerland,Other Europe,Australia & New Zealand,Africa,Central & South America"
106603983,,"Government,Large Solution Provider or Technology Company,Marketing & Digital Agency,Startup Solution Provider or Technology Company,Established Retailer or Brand,Marketplace or Marketplace Solution,Startup Retailer or Brand,Real Estate,Media or Sell Side Analyst,Higher Education",,,,"Other Europe,North America,France & Benelux,India,Asia - Other,Central & South America,Africa,Eastern Europe,Southern Europe,Middle East,Nordics,UK & Ireland,China,Germany, Austria & Switzerland","Data, Analytics & Insights,Procurement & Vendor Management",,,"Automated Retail Kiosks,Live Chat, Chatbots & Virtual Assistants Solutions,Social Media Marketing Solutions,Content Delivery Platforms & Networks,Robotics & Automation,Augmented Reality & Virtual Reality,Search Engine Optimization (SEO)",False,"Other Europe,North America,France & Benelux,India,Asia - Other,Central & South America,Africa,Eastern Europe,Southern Europe,Middle East,Nordics,UK & Ireland,China,Germany, Austria & Switzerland"
109956365,,,,,"Supply Chain, Operations & Fulfillment,Consulting & Advisory,Marketing, Advertising & Communications,HR, Talent Acquisition & Workforce Management,Merchandising,Technology & IT,Finance & Accounting,Strategy, Innovation & Transformation,Environmental, Social & Corporate Governance (ESG),Customer Experience,Procurement & Vendor Management,Product Development & Management,Partnerships,Logistics & Transportation (inc. Last-Mile),Executive Leadership & Board of Directors,Sales, BD & Account Management,Other,Data, Analytics & Insights,Research, Content & Journalism,Store Operations,Investing,Digital & Ecommerce","UK & Ireland,Middle East,France & Benelux,Germany, Austria & Switzerland,Africa,Australia & New Zealand,Nordics,Other Europe,North America,Eastern Europe","Store Operations,Digital & Ecommerce",,,,False,"UK & Ireland,Middle East,France & Benelux,Germany, Austria & Switzerland,Africa,Australia & New Zealand,Nordics,Other Europe,North America,Eastern Europe"
107519331,,"Government,Media or Sell Side Analyst,Real Estate,Startup Solution Provider or Technology Company,Investor (VC, PE or Other)",,,,"Southern Europe,North America,China,Australia & New Zealand,Central & South America,Eastern Europe,Other Europe,France & Benelux",Store Operations,,,"Data Warehousing,Reconciliation & Reporting Solutions,Product Information Management (PIM) Solutions",,"Southern Europe,North America,China,Australia & New Zealand,Central & South America,Eastern Europe,Other Europe,France & Benelux"
104130300,"Cloud Hosting Services,Returns Solutions",,,,,"France & Benelux,Other Europe,Germany, Austria & Switzerland,Nordics,Australia & New Zealand,Southern Europe,Eastern Europe,UK & Ireland,Middle East,Central & South America,Asia - Other,China,Africa,North America,India","Finance & Accounting,Store Operations",,,"Branding Services,Legal, Compliance & Regulatory Services,Mobile, App & SMS Marketing Solutions,Returns Solutions,Social Media Services,Marketing Automation Platforms",,"France & Benelux,Other Europe,Germany, Austria & Switzerland,Nordics,Australia & New Zealand,Southern Europe,Eastern Europe,UK & Ireland,Middle East,Central & South America,Asia - Other,China,Africa,North America,India"
106549028,,"Investor (VC, PE or Other),Startup Solution Provider or Technology Company,Professional Services Firm,Large Solution Provider or Technology Company,Marketing & Digital Agency,Established Retailer or Brand,Higher Education,Government,Media or Sell Side Analyst,Startup Retailer or Brand",,,,China,"Consulting & Advisory,Technology & IT",,More than $10 million,"Business Intelligence Tools,Forecasting & Replenishment Solutions,Social Media Services,Predictive Analytics",True,China
107548678,"Customer Feedback Solutions,Product Data Management Solutions,In-Store Analytics,Data Architecture & Infrastructure Solutions,Subscription Management & Recurring Payment Solutions","Higher Education,Real Estate,Marketing & Digital Agency,Professional Services Firm,Investor (VC, PE or Other),Government,Marketplace or Marketplace Solution,Established Retailer or Brand",,,,"Central & South America,India,Germany, Austria & Switzerland,China","Marketing, Advertising & Communications",,,,,"Central & South America,India,Germany, Austria & Switzerland,China"
101265363,"Web Performance & Security Solutions,Product Imagery Solutions,Social Media Marketing Solutions,Data Architecture & Infrastructure Solutions,Cross-Border Ecommerce Platforms,Systems Integrator Services","Established Retailer or Brand,Marketing & Digital Agency,Industry Association or Nonprofit,Marketplace or Marketplace Solution,Real Estate,Government,Media or Sell Side Analyst",,,,"China,Middle East,North America,Australia & New Zealand,Eastern Europe,Southern Europe,Central & South America,India,Nordics,Africa,UK & Ireland,France & Benelux,Asia - Other,Germany, Austria & Switzerland,Other Europe","Data, Analytics & Insights,Marketing, Advertising & Communications,Partnerships",,,,,"China,Middle East,North America,Australia & New Zealand,Eastern Europe,Southern Europe,Central & South America,India,Nordics,Africa,UK & Ireland,France & Benelux,Asia - Other,Germany, Austria & Switzerland,Other Europe"
103917701,,,,,"Environmental, Social & Corporate Governance (ESG),Data, Analytics & Insights,Executive Leadership & Board of Directors,Logistics & Transportation (inc. Last-Mile),Consulting & Advisory,Research, Content & Journalism,Strategy, Innovation & Transformation,HR, Talent Acquisition & Workforce Management,Partnerships,Procurement & Vendor Management,Digital & Ecommerce,Customer Experience,Technology & IT,Product Development & Management,Supply Chain, Operations & Fulfillment,Merchandising,Sales, BD & Account Management,Legal, Compliance & Risk,Other","Nordics,Other Europe,Asia - Other,France & Benelux,Australia & New Zealand,India,North America,Africa,Germany, Austria & Switzerland,Central & South America,Southern Europe","Other,Logistics & Transportation (inc. Last-Mile),Legal, Compliance & Risk",,,"Product Data Management Solutions,Mobile Wallets & Payments Solutions,Shelf Monitoring Systems,Mobile POS Solutions,Digital Couponing Solutions & Circulars,Artificial Intelligence (inc. Machine Learning),Associate Mobility Solutions",,"Nordics,Other Europe,Asia - Other,France & Benelux,Australia & New Zealand,India,North America,Africa,Germany, Austria & Switzerland,Central & South America,Southern Europe"
103819918,,,,,"Product Development & Management,Legal, Compliance & Risk,Logistics & Transportation (inc. Last-Mile),Technology & IT,Executive Leadership & Board of Directors,Digital & Ecommerce,Other","Middle East,UK & Ireland,Africa,Central & South America,Asia - Other,China,Eastern Europe,Australia & New Zealand,India,France & Benelux,Southern Europe,North America,Other Europe,Germany, Austria & Switzerland","Partnerships,Merchandising,Research, Content & Journalism",,$5 million+ to 10 million,Inventory Planning & Optimization Tools,True,"Middle East,UK & Ireland,Africa,Central & South America,Asia - Other,China,Eastern Europe,Australia & New Zealand,India,France & Benelux,Southern Europe,North America,Other Europe,Germany, Austria & Switzerland"
107697553,,,,,,"Southern Europe,Germany, Austria & Switzerland,India","Consulting & Advisory,Other",,,"Cause-Based Marketing Solutions,Digital Shelving,Back Office Process & Workflow Automation (inc. RPA),Video Marketing Solutions,Web & App Analytics,Order Management Systems",False,"Southern Europe,Germany, Austria & Switzerland,India"
105694059,"Product Lifecycle Management (PLM) Solutions,Real Estate Brokerage & Advisory Services,Artificial Intelligence (inc. Machine Learning),Social Media Marketing Solutions,Cross-Border Ecommerce Platforms,Creative & Design Services,Insurance and Warranty Solutions",,,,"Technology & IT,Logistics & Transportation (inc. Last-Mile),Partnerships,Strategy, Innovation & Transformation,Supply Chain, Operations & Fulfillment,Legal, Compliance & Risk,HR, Talent Acquisition & Workforce Management,Data, Analytics & Insights,Other,Marketing, Advertising & Communications,Environmental, Social & Corporate Governance (ESG),Merchandising,Finance & Accounting,Consulting & Advisory,Store Operations,Product Development & Management,Digital & Ecommerce,Procurement & Vendor Management,Research, Content & Journalism","France & Benelux,Middle East,India,Australia & New Zealand,UK & Ireland,China,Asia - Other,Germany, Austria & Switzerland,Other Europe,Central & South America,Africa,North America","Strategy, Innovation & Transformation",,,"Associate Mobility Solutions,Marketing Campaign Management,Translation & Localization Services,NFTs & Tokens",,"France & Benelux,Middle East,India,Australia & New Zealand,UK & Ireland,China,Asia - Other,Germany, Austria & Switzerland,Other Europe,Central & South America,Africa,North America"
101207299,"Associate Mobility Solutions,Expense & Spend Management Solutions,Ecommerce Platforms,Product Imagery Solutions,B2B Financing & Lending Solutions,Translation & Localization Services,Marketing Campaign Management,Sustainability Solutions",,,,,"Central & South America,Nordics,North America,Eastern Europe,China,Southern Europe,France & Benelux,Middle East,Other Europe,Australia & New Zealand,Africa,Germany, Austria & Switzerland,India","Research, Content & Journalism",,,"Inventory Planning & Optimization Tools,Marketing Campaign Management,Price Optimization Solutions,Shipping Providers,Consumer Sentiment & Reviews,In-Store Media Solutions,Data Visualization Tools",False,"Central & South America,Nordics,North America,Eastern Europe,China,Southern Europe,France & Benelux,Middle East,Other Europe,Australia & New Zealand,Africa,Germany, Austria & Switzerland,India"
103707336,"Payroll & Earned Wage Access Solutions,NFTs & Tokens","Industry Association or Nonprofit,Government,Higher Education,Investor (VC, PE or Other)",,,"Data, Analytics & Insights,Investing,Sales, BD & Account Management,Customer Experience","UK & Ireland,Other Europe,China,Southern Europe,France & Benelux,Germany, Austria & Switzerland","Data, Analytics & Insights,Product Development & Management,HR, Talent Acquisition & Workforce Management",,$5 million+ to 10 million,,True,"UK & Ireland,Other Europe,China,Southern Europe,France & Benelux,Germany, Austria & Switzerland"
109846372,,,,,"HR, Talent Acquisition & Workforce Management,Marketing, Advertising & Communications,Data, Analytics & Insights,Consulting & Advisory,Finance & Accounting,Strategy, Innovation & Transformation,Supply Chain, Operations & Fulfillment,Other,Technology & IT,Merchandising,Environmental, Social & Corporate Governance (ESG),Procurement & Vendor Management,Store Operations,Product Development & Management,Investing,Research, Content & Journalism,Legal, Compliance & Risk,Customer Experience,Digital & Ecommerce,Partnerships,Sales, BD & Account Management,Executive Leadership & Board of Directors,Logistics & Transportation (inc. Last-Mile)","UK & Ireland,Africa,India,France & Benelux,Southern Europe,Australia & New Zealand,Other Europe,North America","Marketing, Advertising & Communications,Environmental, Social & Corporate Governance (ESG)",,,"Social Media Services,Real Estate Brokerage & Advisory Services,Returns Solutions,Live Chat, Chatbots & Virtual Assistants Solutions",,"UK & Ireland,Africa,India,France & Benelux,Southern Europe,Australia & New Zealand,Other Europe,North America"
106470491,"Search Engine Marketing (SEM),Financial, Accounting & ERP Solutions & Integration Services,Site Search Solutions,BNPL & Customer Installment Lending Solutions","Large Solution Provider or Technology Company,Marketing & Digital Agency,Marketplace or Marketplace Solution,Investor (VC, PE or Other),Higher Education,Startup Retailer or Brand,Startup Solution Provider or Technology Company,Media or Sell Side Analyst,Professional Services Firm,Government",,,"Technology & IT,Procurement & Vendor Management,Strategy, Innovation & Transformation,Consulting & Advisory","India,Germany, Austria & Switzerland,Africa,Australia & New Zealand,Eastern Europe,Middle East","Consulting & Advisory,Logistics & Transportation (inc. Last-Mile)",,,,,"India,Germany, Austria & Switzerland,Africa,Australia & New Zealand,Eastern Europe,Middle East"
103905665,,"Investor (VC, PE or Other),Startup Retailer or Brand,Large Solution Provider or Technology Company,Industry Association or Nonprofit",,,"Digital & Ecommerce,Executive Leadership & Board of Directors,Technology & IT,Product Development & Management,Strategy, Innovation & Transformation,Procurement & Vendor Management,Partnerships,Supply Chain, Operations & Fulfillment,Merchandising","Asia - Other,China,Eastern Europe,Middle East,Africa,Australia & New Zealand,UK & Ireland,North America,Southern Europe","Consulting & Advisory,Research, Content & Journalism",,,"Video Web Operations,Supply Chain Management Software,Sourcing Solutions & Services,Autonomous Vehicles",False,"Asia - Other,China,Eastern Europe,Middle East,Africa,Australia & New Zealand,UK & Ireland,North America,Southern Europe"
106966266,"Translation & Localization Services,Multichannel Marketing Platforms,Social Media Services,Reconciliation & Reporting Solutions,Web & App Analytics,Mobile Commerce Platforms,Marketplace Platforms,Media Buying Services","Established Retailer or Brand,Government,Investor (VC, PE or Other),Marketing & Digital Agency,Professional Services Firm",,,,"Africa,India,North America,Middle East,Germany, Austria & Switzerland,Nordics,Asia - Other,Eastern Europe,Southern Europe,China,France & Benelux,UK & Ireland",Finance & Accounting,,$1 million or less,"Shelf Monitoring Systems,Packaging Solutions,Data Visualization Tools,Charitable, Donation & Philanthropic Solutions,Financial Planning, Analysis & Forecasting Tools,Automated & Self Checkout Solutions,Augmented Reality & Virtual Reality,Predictive Analytics",True,"Africa,India,North America,Middle East,Germany, Austria & Switzerland,Nordics,Asia - Other,Eastern Europe,Southern Europe,China,France & Benelux,UK & Ireland"
100678261,"Content Management Systems,Mobile Commerce Platforms,Flexible Labor/Gig Economy Management,Crypto Payments Solutions,Social Media Marketing Solutions,Data Visualization Tools,Mobile, App & SMS Marketing Solutions",Real Estate,,,,"China,Other Europe,Australia & New Zealand,UK & Ireland","Merchandising,Investing",,More than $10 million,"AR/AP Automation & E-Invoicing Solutions,Competitive Pricing Insights & Solutions,Sustainability Solutions,Translation & Localization Services,Product Imagery Solutions,Mobile, App & SMS Marketing Solutions,Video Web Operations,Subscription Management & Recurring Payment Solutions,Digital Couponing Solutions & Circulars",True,"China,Other Europe,Australia & New Zealand,UK & Ireland"
108143818,,"Established Retailer or Brand,Media or Sell Side Analyst,Higher Education,Real Estate,Marketing & Digital Agency",,,,"India,China,Nordics,UK & Ireland,France & Benelux,Australia & New Zealand,Other Europe,North America,Germany, Austria & Switzerland,Africa,Middle East","Consulting & Advisory,Research, Content & Journalism,Procurement & Vendor Management",,,,,"India,China,Nordics,UK & Ireland,France & Benelux,Australia & New Zealand,Other Europe,North America,Germany, Austria & Switzerland,Africa,Middle East"
101504474,,,,,"Other,Marketing, Advertising & Communications,Supply Chain, Operations & Fulfillment","Asia - Other,UK & Ireland,Middle East,Eastern Europe","Strategy, Innovation & Transformation",,More than $10 million,"Marketing Campaign Management,Packaging Solutions,Ecommerce Platforms,Shopper Marketing Solutions,Shipping Providers",True,"Asia - Other,UK & Ireland,Middle East,Eastern Europe"
